"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"1598",-0.27,-0.16,0.32,NA,3.26,NA,4.51,"Lechevalieria","Pseudonocardiaceae","Actinobacteria","Actinobacteria","Pseudonocardiales"
"1660",-0.34,-0.26,0.32,-0.24,3.47,3.14,4.22,NA,NA,"Chloroflexi","KD4-96",NA
"1101",-0.33,-0.21,0.32,-0.42,4.09,3.04,4.32,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"455",-0.35,-0.2,0.32,-0.31,3.74,3.01,4.22,"Candidatus Udaeobacter","Chthoniobacteraceae","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales"
"1479",-0.26,-0.04,0.32,-0.35,3.91,3.86,4.53,"Blastococcus","Geodermatophilaceae","Actinobacteria","Actinobacteria","Frankiales"
"715",-0.39,-0.27,0.31,-0.33,3.28,3.09,2.84,NA,"Rhizobiales Incertae Sedis","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1410",-0.28,-0.23,0.31,NA,4.47,NA,3.36,"GOUTA6","Nitrosomonadaceae","Proteobacteria","Gammaproteobacteria","Burkholderiales"
"276",-0.41,-0.31,0.31,-0.22,5.34,3.76,4.66,NA,NA,"Cyanobacteria","Cyanobacteriia","Chloroplast"
"1007",-0.24,0.04,0.31,-0.38,4.67,4.2,4.55,"Gemmatimonas","Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"251",-0.1,0.06,0.31,NA,3.4,NA,3.41,NA,"Micromonosporaceae","Actinobacteria","Actinobacteria","Micromonosporales"
"301",-0.28,-0.07,0.31,-0.24,4.66,4.05,4.26,NA,"Vicinamibacteraceae","Acidobacteria","Vicinamibacteria","Vicinamibacterales"
