"ASV_id","High Control","Low Control","Mid Control"
"723",NA,4,3.39
"724",4.1,4.08,4.34
"725",4.14,3.69,4.01
"726",3.27,2.71,3.81
"727",4.77,4.27,5.03
"728",4.04,4.17,NA
"729",NA,3.9,NA
"730",4.1,4.16,3.97
"731",3.8,3.53,NA
"732",3.71,3.4,3.29
"733",3.74,NA,3.64
"734",2.94,3.09,3.43
"735",3.39,3.7,3.4
"736",3.66,2.94,3.95
"737",3.49,3.3,4.11
"738",3.26,3.85,3.24
"739",3.53,3.19,3.32
"740",1.79,3.11,2.3
"741",4.08,3.67,3.33
"742",3.09,3.14,NA
"743",4.61,3.75,3.9
"744",3.82,3.74,3.68
"745",3.3,3.76,3.84
"746",NA,3.81,3.5
"747",3.33,2.46,3.43
"748",3.11,2.94,3.16
"749",3.09,NA,3.43
"750",4.65,NA,NA
"751",NA,NA,3.53
"752",4.74,4.61,4.45
"753",3.63,3.85,3.78
"754",3,3.24,2.4
"755",3.19,2.48,NA
"756",2.98,2.94,NA
"757",2.95,2.96,2.56
"758",3.69,3.19,3.42
"759",2.14,2.44,NA
"760",3.48,3.75,3.07
"761",3.01,3.39,3.26
"762",3.95,3.98,2.48
"763",4.09,NA,3.99
"764",4.45,3.82,4.22
"765",3.2,3.36,3.51
"766",NA,4.01,3.69
"767",3.43,2.3,1.61
"768",3.38,2.64,3.14
"769",4.03,3.7,3.71
"770",NA,2.96,3.12
"771",3.02,NA,3
"772",3.3,3.17,NA
"773",2.64,2.96,2.56
"774",3.32,2.85,3.1
"775",3,2.94,NA
"776",3.11,3.5,3.06
"777",3.4,3.6,3.86
"778",5.12,4.64,4.73
"779",3.55,3.44,3.92
"780",4.93,4.84,5.04
"781",NA,3.83,NA
"782",4.69,4.23,4.38
"783",3.71,4.06,4.01
"784",2.88,3.66,2.56
"785",NA,3.4,2.95
"786",NA,2.94,2.39
"787",2.94,3.85,3.36
"788",NA,4.08,NA
"789",4.21,3.88,3.91
"790",NA,2.71,NA
"791",3.75,3.54,3.77
"792",3.4,NA,3.5
"793",3.7,3.82,3.61
"794",NA,3.13,3.14
"795",4.67,4.42,4.12
"796",3.64,3.67,3.84
"797",3.83,NA,NA
"798",2.48,2.85,2.74
"799",3.02,3.6,3.54
"800",2.71,3.33,3.13
"801",2.52,2.89,3.15
"802",2.87,2.71,3.19
"803",NA,2.64,3.4
"804",4.23,4.66,3.6
"805",4.79,3.14,NA
"806",NA,4.01,NA
"807",3.54,4.98,NA
"808",NA,NA,4.11
"809",2.88,4.92,2.94
"811",2.71,2.58,2.56
"812",3.48,3.88,NA
"813",NA,3.54,3.04
"814",3.34,3.69,3.73
"815",3.53,2.89,NA
"816",NA,3.33,3.52
"817",4.09,4.34,4.22
"818",NA,3.5,3.78
"819",NA,4.49,3.54
"820",NA,3.98,NA
"821",NA,3.56,3.97
"822",3.14,3.94,3.53
"823",3.13,3.53,NA
"824",NA,NA,4.16
"825",3.66,3.89,3.97
"826",3.71,3.47,NA
"827",3.05,3.22,3.14
"828",4.37,3.77,3.03
"829",2.43,2.89,2.89
"830",NA,4.66,3.43
"831",4,4.29,4.04
"832",NA,3.37,3.97
"833",NA,NA,3.66
"834",NA,3.69,2.89
"835",NA,NA,4.56
"836",3.99,4.42,4.31
"837",4.39,4.17,4.33
"838",NA,3.95,NA
"839",NA,4.01,3.78
"840",3.09,NA,NA
"841",4.31,4.35,4.55
"842",3.7,3.6,4.06
"843",3.89,3.08,3.45
"844",NA,NA,3.58
"845",NA,3,2.83
"846",NA,3.4,2.4
"847",NA,3.15,NA
"848",4.69,4.07,3.8
"849",NA,NA,3.69
"850",4.8,4.21,5.02
"851",4.1,3.85,4.49
"852",NA,3.71,NA
"853",3.74,NA,NA
"854",3.26,3.61,3.87
"855",3.74,3.75,4.08
"856",NA,4.34,3.3
"857",2.4,4.03,2.83
"858",3.01,3.59,3.76
"859",NA,3.58,3.23
"860",3.47,3.72,3.93
"861",3.99,3.88,4.33
"863",3.64,2.5,2.77
"864",4.04,3.83,4.27
"865",3.5,NA,2.59
"866",4.54,3.75,3.69
"867",NA,NA,3.97
"868",2.4,2.83,3.18
"869",2.77,NA,2.94
"870",3.88,4.43,4.14
"871",3.12,3.13,3.16
"872",4.48,NA,4.51
"873",5.49,6.02,5.87
"874",4.85,4.69,4.77
"875",NA,3.52,3.37
"876",3.14,4.44,NA
"877",3.4,NA,3.04
"878",NA,4.13,NA
"879",3.26,4.22,3.66
"880",3.51,3.87,NA
"881",3.76,3.78,4.5
"882",NA,3.03,NA
"883",4.68,3.64,4.39
"884",NA,NA,3.87
"885",3.78,4.12,4.69
"886",2.82,3.62,3.31
"887",NA,3.49,3.17
"888",2.48,3.2,3.44
"889",3.11,2.99,3.1
"890",NA,3.01,NA
"891",2.83,NA,3.4
"892",3.96,3.8,3.27
"893",NA,3.09,NA
"894",3.63,2.55,3.24
"895",3.27,NA,2.75
"898",2.71,3.06,2.4
"899",2.89,3.69,3.04
"900",3.93,3.85,3.89
"901",3.3,3.09,3.24
"902",3.7,1.95,3.83
"903",NA,2.89,3.41
"904",3.49,3,3.31
"905",2.89,3.53,2.99
"906",3.73,2.77,3.45
"907",3.7,3.33,3.5
"908",4.83,4.67,4.96
"909",3.69,3.26,3.83
"910",3.88,3.87,3.98
"911",4.63,4.32,4.67
"912",4.39,3.97,3.75
"913",3.14,3.15,3.6
"914",NA,2.48,3.56
"915",3.3,2.48,3.47
"916",NA,3.59,NA
"917",NA,NA,3.81
"918",NA,2.56,NA
"919",3.66,3.76,3.7
"920",3.33,4.04,3.46
"921",2.96,3.08,3.18
"922",3.14,NA,3.37
"923",4,4.3,4.4
"924",NA,4.48,NA
"925",NA,4.33,NA
"926",2.89,3.91,3.18
"927",3.81,NA,NA
"928",3.09,3.09,NA
"929",NA,NA,3.97
"930",3.37,NA,2.54
"931",3.73,3.88,3.95
"932",3.26,2.71,3.33
"933",2.97,3.26,3.28
"934",3.57,NA,4.19
"935",3.31,2.08,3.47
"936",NA,3.44,2.86
"937",3.47,NA,NA
"938",3.26,3.58,NA
"939",2.83,NA,4.08
"940",NA,2.89,NA
"941",3.02,NA,3.47
"942",3.04,2.77,NA
"943",3.75,NA,3.74
"944",3.12,3.04,3.56
"945",3.48,3.81,NA
"946",NA,3.55,3.33
"947",3.39,4.17,3.8
"948",3.89,4.06,4.26
"949",3.56,NA,4.04
"950",NA,3.31,2.83
"951",2.3,3.14,3.24
"952",NA,3.43,NA
"953",2.95,2.73,2.94
"954",2.46,2.1,2.28
"955",3.04,3.36,4
"956",NA,NA,3.04
"957",NA,3.3,NA
"958",NA,3.14,2.87
"959",3.76,NA,NA
"960",NA,NA,4.17
"961",3.83,1.61,3.1
"962",3.44,3.21,3.37
"963",NA,2.91,3.51
"964",NA,3.14,3.64
"965",NA,NA,3.04
"966",NA,3.64,3.63
"968",NA,2.89,1.95
"969",3.66,3.64,3.78
"970",3.77,4.06,NA
"971",NA,3.89,4.45
"972",3.37,NA,3.91
"973",4.24,4.11,4.23
"974",NA,3.68,3.46
"975",3.41,3.37,3.4
"976",3,2.4,3.23
"977",3.93,NA,1.95
"978",3.68,3.83,3.47
"979",NA,2.46,2.07
"980",3.98,3.96,4.33
"981",4.97,4.7,5.16
"982",4.61,4.31,4.63
"983",3.97,3.55,3.81
"984",4,3.42,4.09
"985",3.01,2.62,3.12
"987",2.93,NA,2.3
"988",2.85,2.56,2.95
"989",3.98,NA,NA
